,label,video_name
1133,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos146_x264.mp4
1860,fighting,../input/real-time-anomaly-detection-in-cctv-surveillance/data/fighting/Fighting002_x264.mp4
1203,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos841_x264.mp4
1373,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos195_x264.mp4
968,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos942_x264.mp4
1380,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos734_x264.mp4
1835,abuse,../input/real-time-anomaly-detection-in-cctv-surveillance/data/abuse/Abuse031_x264.mp4
487,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos302_x264.mp4
990,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos131_x264.mp4
843,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos586_x264.mp4
1329,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos537_x264.mp4
1310,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos011_x264.mp4
318,shooting,../input/real-time-anomaly-detection-in-cctv-surveillance/data/shooting/Shooting022_x264.mp4
1877,fighting,../input/real-time-anomaly-detection-in-cctv-surveillance/data/fighting/Fighting018_x264.mp4
1023,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos426_x264.mp4
150,assault,../input/real-time-anomaly-detection-in-cctv-surveillance/data/assault/Assault002_x264.mp4
1168,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos004_x264.mp4
1745,burglary,../input/real-time-anomaly-detection-in-cctv-surveillance/data/burglary/Burglary067_x264.mp4
917,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos_041_x264.mp4
1798,burglary,../input/real-time-anomaly-detection-in-cctv-surveillance/data/burglary/Burglary099_x264.mp4
1626,stealing,../input/real-time-anomaly-detection-in-cctv-surveillance/data/stealing/Stealing008_x264.mp4
1164,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos_704_x264.mp4
193,assault,../input/real-time-anomaly-detection-in-cctv-surveillance/data/assault/Assault003_x264.mp4
1803,abuse,../input/real-time-anomaly-detection-in-cctv-surveillance/data/abuse/Abuse018_x264.mp4
78,roadaccidents,../input/real-time-anomaly-detection-in-cctv-surveillance/data/roadaccidents/RoadAccidents018_x264.mp4
359,arson,../input/real-time-anomaly-detection-in-cctv-surveillance/data/arson/Arson021_x264.mp4
929,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos296_x264.mp4
668,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos_801_x264.mp4
1153,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos775_x264.mp4
1562,robbery,../input/real-time-anomaly-detection-in-cctv-surveillance/data/robbery/Robbery111_x264.mp4
1723,burglary,../input/real-time-anomaly-detection-in-cctv-surveillance/data/burglary/Burglary018_x264.mp4
956,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos_883_x264.mp4
551,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos635_x264.mp4
842,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos946_x264.mp4
1891,fighting,../input/real-time-anomaly-detection-in-cctv-surveillance/data/fighting/Fighting028_x264.mp4
183,assault,../input/real-time-anomaly-detection-in-cctv-surveillance/data/assault/Assault019_x264.mp4
697,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos566_x264.mp4
1444,shoplifting,../input/real-time-anomaly-detection-in-cctv-surveillance/data/shoplifting/Shoplifting010_x264.mp4
57,roadaccidents,../input/real-time-anomaly-detection-in-cctv-surveillance/data/roadaccidents/RoadAccidents142_x264.mp4
1514,robbery,../input/real-time-anomaly-detection-in-cctv-surveillance/data/robbery/Robbery118_x264.mp4
934,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos772_x264.mp4
1432,shoplifting,../input/real-time-anomaly-detection-in-cctv-surveillance/data/shoplifting/Shoplifting027_x264.mp4
1383,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos522_x264.mp4
775,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos173_x264.mp4
455,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos658_x264.mp4
147,roadaccidents,../input/real-time-anomaly-detection-in-cctv-surveillance/data/roadaccidents/RoadAccidents002_x264.mp4
1547,robbery,../input/real-time-anomaly-detection-in-cctv-surveillance/data/robbery/Robbery070_x264.mp4
85,roadaccidents,../input/real-time-anomaly-detection-in-cctv-surveillance/data/roadaccidents/RoadAccidents092_x264.mp4
982,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos144_x264.mp4
4,roadaccidents,../input/real-time-anomaly-detection-in-cctv-surveillance/data/roadaccidents/RoadAccidents006_x264.mp4
435,explosion,../input/real-time-anomaly-detection-in-cctv-surveillance/data/explosion/Explosion039_x264.mp4
592,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos859_x264.mp4
1595,robbery,../input/real-time-anomaly-detection-in-cctv-surveillance/data/robbery/Robbery006_x264.mp4
1705,burglary,../input/real-time-anomaly-detection-in-cctv-surveillance/data/burglary/Burglary098_x264.mp4
107,roadaccidents,../input/real-time-anomaly-detection-in-cctv-surveillance/data/roadaccidents/RoadAccidents115_x264.mp4
872,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos662_x264.mp4
1400,shoplifting,../input/real-time-anomaly-detection-in-cctv-surveillance/data/shoplifting/Shoplifting020_x264.mp4
1456,robbery,../input/real-time-anomaly-detection-in-cctv-surveillance/data/robbery/Robbery089_x264.mp4
1743,burglary,../input/real-time-anomaly-detection-in-cctv-surveillance/data/burglary/Burglary051_x264.mp4
1544,robbery,../input/real-time-anomaly-detection-in-cctv-surveillance/data/robbery/Robbery072_x264.mp4
488,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos567_x264.mp4
1260,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos_904_x264.mp4
18,roadaccidents,../input/real-time-anomaly-detection-in-cctv-surveillance/data/roadaccidents/RoadAccidents104_x264.mp4
1663,stealing,../input/real-time-anomaly-detection-in-cctv-surveillance/data/stealing/Stealing028_x264.mp4
21,roadaccidents,../input/real-time-anomaly-detection-in-cctv-surveillance/data/roadaccidents/RoadAccidents125_x264.mp4
803,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos949_x264.mp4
1724,burglary,../input/real-time-anomaly-detection-in-cctv-surveillance/data/burglary/Burglary073_x264.mp4
1720,burglary,../input/real-time-anomaly-detection-in-cctv-surveillance/data/burglary/Burglary061_x264.mp4
888,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos_910_x264.mp4
1061,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos_050_x264.mp4
1870,fighting,../input/real-time-anomaly-detection-in-cctv-surveillance/data/fighting/Fighting016_x264.mp4
1668,stealing,../input/real-time-anomaly-detection-in-cctv-surveillance/data/stealing/Stealing101_x264.mp4
1793,burglary,../input/real-time-anomaly-detection-in-cctv-surveillance/data/burglary/Burglary037_x264.mp4
368,arson,../input/real-time-anomaly-detection-in-cctv-surveillance/data/arson/Arson012_x264.mp4
757,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos767_x264.mp4
1048,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos371_x264.mp4
887,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos241_x264.mp4
1302,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos856_x264.mp4
249,vandalism,../input/real-time-anomaly-detection-in-cctv-surveillance/data/vandalism/Vandalism011_x264.mp4
186,assault,../input/real-time-anomaly-detection-in-cctv-surveillance/data/assault/Assault023_x264.mp4
773,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos824_x264.mp4
453,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos139_x264.mp4
94,roadaccidents,../input/real-time-anomaly-detection-in-cctv-surveillance/data/roadaccidents/RoadAccidents122_x264.mp4
1812,abuse,../input/real-time-anomaly-detection-in-cctv-surveillance/data/abuse/Abuse008_x264.mp4
693,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos434_x264.mp4
1589,robbery,../input/real-time-anomaly-detection-in-cctv-surveillance/data/robbery/Robbery093_x264.mp4
1690,stealing,../input/real-time-anomaly-detection-in-cctv-surveillance/data/stealing/Stealing053_x264.mp4
1351,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos355_x264.mp4
1192,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos069_x264.mp4
1876,fighting,../input/real-time-anomaly-detection-in-cctv-surveillance/data/fighting/Fighting029_x264.mp4
492,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos825_x264.mp4
832,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos372_x264.mp4
844,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos613_x264.mp4
782,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos_925_x264.mp4
565,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos_936_x264.mp4
1564,robbery,../input/real-time-anomaly-detection-in-cctv-surveillance/data/robbery/Robbery033_x264.mp4
825,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos550_x264.mp4
777,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos669_x264.mp4
954,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos240_x264.mp4
371,arson,../input/real-time-anomaly-detection-in-cctv-surveillance/data/arson/Arson016_x264.mp4
152,assault,../input/real-time-anomaly-detection-in-cctv-surveillance/data/assault/Assault045_x264.mp4
1003,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos596_x264.mp4
1839,abuse,../input/real-time-anomaly-detection-in-cctv-surveillance/data/abuse/Abuse010_x264.mp4
751,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos948_x264.mp4
1224,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos638_x264.mp4
823,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos029_x264.mp4
340,shooting,../input/real-time-anomaly-detection-in-cctv-surveillance/data/shooting/Shooting030_x264.mp4
1404,shoplifting,../input/real-time-anomaly-detection-in-cctv-surveillance/data/shoplifting/Shoplifting005_x264.mp4
677,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos920_x264.mp4
632,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos_210_x264.mp4
802,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos423_x264.mp4
811,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos_317_x264.mp4
1388,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos274_x264.mp4
129,roadaccidents,../input/real-time-anomaly-detection-in-cctv-surveillance/data/roadaccidents/RoadAccidents035_x264.mp4
389,arson,../input/real-time-anomaly-detection-in-cctv-surveillance/data/arson/Arson015_x264.mp4
59,roadaccidents,../input/real-time-anomaly-detection-in-cctv-surveillance/data/roadaccidents/RoadAccidents140_x264.mp4
539,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos446_x264.mp4
30,roadaccidents,../input/real-time-anomaly-detection-in-cctv-surveillance/data/roadaccidents/RoadAccidents024_x264.mp4
1258,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos007_x264.mp4
915,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos476_x264.mp4
574,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos328_x264.mp4
945,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos204_x264.mp4
1898,fighting,../input/real-time-anomaly-detection-in-cctv-surveillance/data/fighting/Fighting026_x264.mp4
980,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos495_x264.mp4
896,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos_783_x264.mp4
1317,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos356_x264.mp4
731,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos585_x264.mp4
1191,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos338_x264.mp4
1596,robbery,../input/real-time-anomaly-detection-in-cctv-surveillance/data/robbery/Robbery043_x264.mp4
807,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos573_x264.mp4
1312,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos347_x264.mp4
638,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos097_x264.mp4
1450,robbery,../input/real-time-anomaly-detection-in-cctv-surveillance/data/robbery/Robbery008_x264.mp4
1036,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos766_x264.mp4
864,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos486_x264.mp4
1195,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos099_x264.mp4
1166,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos188_x264.mp4
1084,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos_246_x264.mp4
1748,burglary,../input/real-time-anomaly-detection-in-cctv-surveillance/data/burglary/Burglary023_x264.mp4
1034,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos441_x264.mp4
1085,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos850_x264.mp4
1139,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos682_x264.mp4
1235,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos102_x264.mp4
1090,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos136_x264.mp4
786,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos564_x264.mp4
159,assault,../input/real-time-anomaly-detection-in-cctv-surveillance/data/assault/Assault042_x264.mp4
1286,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos804_x264.mp4
274,arrest,../input/real-time-anomaly-detection-in-cctv-surveillance/data/arrest/Arrest017_x264.mp4
1637,stealing,../input/real-time-anomaly-detection-in-cctv-surveillance/data/stealing/Stealing046_x264.mp4
131,roadaccidents,../input/real-time-anomaly-detection-in-cctv-surveillance/data/roadaccidents/RoadAccidents068_x264.mp4
335,shooting,../input/real-time-anomaly-detection-in-cctv-surveillance/data/shooting/Shooting005_x264.mp4
949,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos487_x264.mp4
1494,robbery,../input/real-time-anomaly-detection-in-cctv-surveillance/data/robbery/Robbery148_x264.mp4
475,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos237_x264.mp4
1636,stealing,../input/real-time-anomaly-detection-in-cctv-surveillance/data/stealing/Stealing013_x264.mp4
1376,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos382_x264.mp4
1452,robbery,../input/real-time-anomaly-detection-in-cctv-surveillance/data/robbery/Robbery060_x264.mp4
1486,robbery,../input/real-time-anomaly-detection-in-cctv-surveillance/data/robbery/Robbery095_x264.mp4
1785,burglary,../input/real-time-anomaly-detection-in-cctv-surveillance/data/burglary/Burglary007_x264.mp4
1201,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos864_x264.mp4
1170,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos323_x264.mp4
1559,robbery,../input/real-time-anomaly-detection-in-cctv-surveillance/data/robbery/Robbery007_x264.mp4
1855,fighting,../input/real-time-anomaly-detection-in-cctv-surveillance/data/fighting/Fighting005_x264.mp4
317,shooting,../input/real-time-anomaly-detection-in-cctv-surveillance/data/shooting/Shooting034_x264.mp4
339,shooting,../input/real-time-anomaly-detection-in-cctv-surveillance/data/shooting/Shooting013_x264.mp4
212,vandalism,../input/real-time-anomaly-detection-in-cctv-surveillance/data/vandalism/Vandalism018_x264.mp4
1209,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos_911_x264.mp4
959,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos809_x264.mp4
899,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos_745_x264.mp4
909,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos530_x264.mp4
1618,stealing,../input/real-time-anomaly-detection-in-cctv-surveillance/data/stealing/Stealing022_x264.mp4
1883,fighting,../input/real-time-anomaly-detection-in-cctv-surveillance/data/fighting/Fighting009_x264.mp4
1649,stealing,../input/real-time-anomaly-detection-in-cctv-surveillance/data/stealing/Stealing069_x264.mp4
912,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos650_x264.mp4
720,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos757_x264.mp4
1316,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos_928_x264.mp4
221,vandalism,../input/real-time-anomaly-detection-in-cctv-surveillance/data/vandalism/Vandalism032_x264.mp4
1590,robbery,../input/real-time-anomaly-detection-in-cctv-surveillance/data/robbery/Robbery014_x264.mp4
1640,stealing,../input/real-time-anomaly-detection-in-cctv-surveillance/data/stealing/Stealing094_x264.mp4
545,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos290_x264.mp4
1114,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos_641_x264.mp4
325,shooting,../input/real-time-anomaly-detection-in-cctv-surveillance/data/shooting/Shooting037_x264.mp4
168,assault,../input/real-time-anomaly-detection-in-cctv-surveillance/data/assault/Assault009_x264.mp4
1425,shoplifting,../input/real-time-anomaly-detection-in-cctv-surveillance/data/shoplifting/Shoplifting040_x264.mp4
1755,burglary,../input/real-time-anomaly-detection-in-cctv-surveillance/data/burglary/Burglary058_x264.mp4
408,explosion,../input/real-time-anomaly-detection-in-cctv-surveillance/data/explosion/Explosion046_x264.mp4
663,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos_015_x264.mp4
1295,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos844_x264.mp4
1331,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos493_x264.mp4
1527,robbery,../input/real-time-anomaly-detection-in-cctv-surveillance/data/robbery/Robbery039_x264.mp4
1806,abuse,../input/real-time-anomaly-detection-in-cctv-surveillance/data/abuse/Abuse041_x264.mp4
501,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos304_x264.mp4
583,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos332_x264.mp4
245,vandalism,../input/real-time-anomaly-detection-in-cctv-surveillance/data/vandalism/Vandalism005_x264.mp4
1550,robbery,../input/real-time-anomaly-detection-in-cctv-surveillance/data/robbery/Robbery107_x264.mp4
593,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos142_x264.mp4
180,assault,../input/real-time-anomaly-detection-in-cctv-surveillance/data/assault/Assault015_x264.mp4
1549,robbery,../input/real-time-anomaly-detection-in-cctv-surveillance/data/robbery/Robbery120_x264.mp4
1840,abuse,../input/real-time-anomaly-detection-in-cctv-surveillance/data/abuse/Abuse025_x264.mp4
836,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos_924_x264.mp4
447,explosion,../input/real-time-anomaly-detection-in-cctv-surveillance/data/explosion/Explosion040_x264.mp4
1792,burglary,../input/real-time-anomaly-detection-in-cctv-surveillance/data/burglary/Burglary039_x264.mp4
1359,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos_927_x264.mp4
1529,robbery,../input/real-time-anomaly-detection-in-cctv-surveillance/data/robbery/Robbery138_x264.mp4
1002,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos180_x264.mp4
156,assault,../input/real-time-anomaly-detection-in-cctv-surveillance/data/assault/Assault051_x264.mp4
1005,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos_933_x264.mp4
726,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos_879_x264.mp4
1843,abuse,../input/real-time-anomaly-detection-in-cctv-surveillance/data/abuse/Abuse043_x264.mp4
904,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos800_x264.mp4
413,explosion,../input/real-time-anomaly-detection-in-cctv-surveillance/data/explosion/Explosion038_x264.mp4
555,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos424_x264.mp4
68,roadaccidents,../input/real-time-anomaly-detection-in-cctv-surveillance/data/roadaccidents/RoadAccidents028_x264.mp4
946,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos467_x264.mp4
9,roadaccidents,../input/real-time-anomaly-detection-in-cctv-surveillance/data/roadaccidents/RoadAccidents135_x264.mp4
1326,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos397_x264.mp4
527,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos646_x264.mp4
1006,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos_902_x264.mp4
390,arson,../input/real-time-anomaly-detection-in-cctv-surveillance/data/arson/Arson047_x264.mp4
1490,robbery,../input/real-time-anomaly-detection-in-cctv-surveillance/data/robbery/Robbery018_x264.mp4
1429,shoplifting,../input/real-time-anomaly-detection-in-cctv-surveillance/data/shoplifting/Shoplifting050_x264.mp4
271,arrest,../input/real-time-anomaly-detection-in-cctv-surveillance/data/arrest/Arrest004_x264.mp4
